Year,Series,Sexua,Cobertura,Residencia,Discapacidad,Lurraldea,Eskualdea,Udalerria,Units,GeoCode,Value
2018,EU_COV_DIA,,,,PD,,,Moreda de Álava/Moreda Araba,PLAZA,Moreda de Álava/Moreda Araba,0.0
2010,EU_COV_DIA,,,,PD,,,Moreda de Álava/Moreda Araba,PLAZA,Moreda de Álava/Moreda Araba,0.0
2011,EU_COV_DIA,,,,PD,,,Moreda de Álava/Moreda Araba,PLAZA,Moreda de Álava/Moreda Araba,0.0
2016,EU_COV_DIA,,,,PD,,,Moreda de Álava/Moreda Araba,PLAZA,Moreda de Álava/Moreda Araba,0.0
2015,EU_COV_DIA,,,,PD,,,Moreda de Álava/Moreda Araba,PLAZA,Moreda de Álava/Moreda Araba,0.0
2013,EU_COV_DIA,,,,PD,,,Moreda de Álava/Moreda Araba,PLAZA,Moreda de Álava/Moreda Araba,0.0
2017,EU_COV_DIA,,,,PD,,,Moreda de Álava/Moreda Araba,PLAZA,Moreda de Álava/Moreda Araba,0.0
2014,EU_COV_DIA,,,,PD,,,Morga,PLAZA,Morga,0.0
2019,EU_COV_DIA,,,,PD,,,Morga,PLAZA,Morga,0.0
2013,EU_COV_DIA,,,,PD,,,Morga,PLAZA,Morga,0.0
2010,EU_COV_DIA,,,,PD,,,Morga,PLAZA,Morga,0.0
2015,EU_COV_DIA,,,,PD,,,Morga,PLAZA,Morga,0.0
2016,EU_COV_DIA,,,,PD,,,Morga,PLAZA,Morga,0.0
2017,EU_COV_DIA,,,,PD,,,Morga,PLAZA,Morga,0.0
2011,EU_COV_DIA,,,,PD,,,Morga,PLAZA,Morga,0.0
2018,EU_COV_DIA,,,,PD,,,Morga,PLAZA,Morga,0.0
2018,EU_COV_DIA,,,,PD,,,Mundaka,PLAZA,Mundaka,0.0
2013,EU_COV_DIA,,,,PD,,,Mundaka,PLAZA,Mundaka,0.0
2019,EU_COV_DIA,,,,PD,,,Mundaka,PLAZA,Mundaka,0.0
2015,EU_COV_DIA,,,,PD,,,Mundaka,PLAZA,Mundaka,0.0
2017,EU_COV_DIA,,,,PD,,,Mundaka,PLAZA,Mundaka,0.0
2014,EU_COV_DIA,,,,PD,,,Mundaka,PLAZA,Mundaka,0.0
2010,EU_COV_DIA,,,,PD,,,Mundaka,PLAZA,Mundaka,0.0
2011,EU_COV_DIA,,,,PD,,,Mundaka,PLAZA,Mundaka,0.0
2016,EU_COV_DIA,,,,PD,,,Mundaka,PLAZA,Mundaka,0.0
2019,EU_COV_DIA,,,,PD,,,Mungia,PLAZA,Mungia,0.9
2011,EU_COV_DIA,,,,PD,,,Mungia,PLAZA,Mungia,0.9
2016,EU_COV_DIA,,,,PD,,,Mungia,PLAZA,Mungia,0.9
2013,EU_COV_DIA,,,,PD,,,Mungia,PLAZA,Mungia,0.9
2017,EU_COV_DIA,,,,PD,,,Mungia,PLAZA,Mungia,0.9
2014,EU_COV_DIA,,,,PD,,,Mungia,PLAZA,Mungia,0.9
2018,EU_COV_DIA,,,,PD,,,Mungia,PLAZA,Mungia,0.9
2015,EU_COV_DIA,,,,PD,,,Mungia,PLAZA,Mungia,0.9
2010,EU_COV_DIA,,,,PD,,,Mungia,PLAZA,Mungia,0.9
2011,EU_COV_DIA,,,,PD,,,Munitibar-Arbatzegi Gerrikaitz,PLAZA,Munitibar-Arbatzegi Gerrikaitz,0.0
2013,EU_COV_DIA,,,,PD,,,Munitibar-Arbatzegi Gerrikaitz,PLAZA,Munitibar-Arbatzegi Gerrikaitz,0.0
2016,EU_COV_DIA,,,,PD,,,Munitibar-Arbatzegi Gerrikaitz,PLAZA,Munitibar-Arbatzegi Gerrikaitz,0.0
2017,EU_COV_DIA,,,,PD,,,Munitibar-Arbatzegi Gerrikaitz,PLAZA,Munitibar-Arbatzegi Gerrikaitz,0.0
2018,EU_COV_DIA,,,,PD,,,Munitibar-Arbatzegi Gerrikaitz,PLAZA,Munitibar-Arbatzegi Gerrikaitz,0.0
2015,EU_COV_DIA,,,,PD,,,Munitibar-Arbatzegi Gerrikaitz,PLAZA,Munitibar-Arbatzegi Gerrikaitz,0.0
2014,EU_COV_DIA,,,,PD,,,Munitibar-Arbatzegi Gerrikaitz,PLAZA,Munitibar-Arbatzegi Gerrikaitz,0.0
2019,EU_COV_DIA,,,,PD,,,Munitibar-Arbatzegi Gerrikaitz,PLAZA,Munitibar-Arbatzegi Gerrikaitz,0.0
2010,EU_COV_DIA,,,,PD,,,Munitibar-Arbatzegi Gerrikaitz,PLAZA,Munitibar-Arbatzegi Gerrikaitz,0.0
2011,EU_COV_DIA,,,,PD,,,Murueta,PLAZA,Murueta,0.0
2015,EU_COV_DIA,,,,PD,,,Murueta,PLAZA,Murueta,0.0
2010,EU_COV_DIA,,,,PD,,,Murueta,PLAZA,Murueta,0.0
2019,EU_COV_DIA,,,,PD,,,Murueta,PLAZA,Murueta,0.0
2016,EU_COV_DIA,,,,PD,,,Murueta,PLAZA,Murueta,0.0
2014,EU_COV_DIA,,,,PD,,,Murueta,PLAZA,Murueta,0.0
2013,EU_COV_DIA,,,,PD,,,Murueta,PLAZA,Murueta,0.0
2017,EU_COV_DIA,,,,PD,,,Murueta,PLAZA,Murueta,0.0
2018,EU_COV_DIA,,,,PD,,,Murueta,PLAZA,Murueta,0.0
2013,EU_COV_DIA,,,,PD,,,Muskiz,PLAZA,Muskiz,0.0
2010,EU_COV_DIA,,,,PD,,,Muskiz,PLAZA,Muskiz,0.0
2016,EU_COV_DIA,,,,PD,,,Muskiz,PLAZA,Muskiz,0.0
2014,EU_COV_DIA,,,,PD,,,Muskiz,PLAZA,Muskiz,0.0
2019,EU_COV_DIA,,,,PD,,,Muskiz,PLAZA,Muskiz,0.0
2015,EU_COV_DIA,,,,PD,,,Muskiz,PLAZA,Muskiz,0.0
2017,EU_COV_DIA,,,,PD,,,Muskiz,PLAZA,Muskiz,0.0
2018,EU_COV_DIA,,,,PD,,,Muskiz,PLAZA,Muskiz,0.0
2011,EU_COV_DIA,,,,PD,,,Muskiz,PLAZA,Muskiz,0.0
2014,EU_COV_DIA,,,,PD,,,Mutiloa,PLAZA,Mutiloa,0.0
2016,EU_COV_DIA,,,,PD,,,Mutiloa,PLAZA,Mutiloa,0.0
2018,EU_COV_DIA,,,,PD,,,Mutiloa,PLAZA,Mutiloa,0.0
2019,EU_COV_DIA,,,,PD,,,Mutiloa,PLAZA,Mutiloa,0.0
2017,EU_COV_DIA,,,,PD,,,Mutiloa,PLAZA,Mutiloa,0.0
2011,EU_COV_DIA,,,,PD,,,Mutiloa,PLAZA,Mutiloa,0.0
2013,EU_COV_DIA,,,,PD,,,Mutiloa,PLAZA,Mutiloa,0.0
2015,EU_COV_DIA,,,,PD,,,Mutiloa,PLAZA,Mutiloa,0.0
2010,EU_COV_DIA,,,,PD,,,Mutiloa,PLAZA,Mutiloa,0.0
2018,EU_COV_DIA,,,,PD,,,Mutriku,PLAZA,Mutriku,0.0
2016,EU_COV_DIA,,,,PD,,,Mutriku,PLAZA,Mutriku,0.0
2017,EU_COV_DIA,,,,PD,,,Mutriku,PLAZA,Mutriku,0.0
2015,EU_COV_DIA,,,,PD,,,Mutriku,PLAZA,Mutriku,0.0
2013,EU_COV_DIA,,,,PD,,,Mutriku,PLAZA,Mutriku,0.0
