Year,Fuente de energía renovable,Units,Territorio,Comarca,Municipio,GeoCode,Value
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,253.78
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,258.47
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Ribera Baja/Erribera Beitia,Ribera Baja/Erribera Beitia,394.74
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Ribera Baja/Erribera Beitia,Ribera Baja/Erribera Beitia,384.08
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Ribera Baja/Erribera Beitia,Ribera Baja/Erribera Beitia,531.31
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Ribera Baja/Erribera Beitia,Ribera Baja/Erribera Beitia,531.88
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Ribera Baja/Erribera Beitia,Ribera Baja/Erribera Beitia,525.43
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Ribera Baja/Erribera Beitia,Ribera Baja/Erribera Beitia,525.47
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Ribera Baja/Erribera Beitia,Ribera Baja/Erribera Beitia,506.79
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Ribera Baja/Erribera Beitia,Ribera Baja/Erribera Beitia,498.42
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Ribera Baja/Erribera Beitia,Ribera Baja/Erribera Beitia,502.56
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Ribera Baja/Erribera Beitia,Ribera Baja/Erribera Beitia,517.8
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,404.62
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,402.3
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,421.69
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,395.48
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,418.34
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,411.05
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,391.06
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,388.89
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,376.34
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,391.06
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,400.0
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,393.26
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Añana,Añana,393.26
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,122.48
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,119.36
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,133.28
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,134.91
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,134.49
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,129.56
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Urkabustaiz,Urkabustaiz,126.98
