Year,Series,Sexo,Cobertura,Residencia,Discapacidad,Territorio,Comarca,Municipio,Units,GeoCode,Value
2023,EU_COV_PENSN,,,,,,,Elgeta,Porcentaje,Elgeta,25.6
2023,EU_COV_PENSN,,,,,,,Elgoibar,Porcentaje,Elgoibar,26.7
2022,EU_COV_PENSN,,,,,,,Elgoibar,Porcentaje,Elgoibar,26.6
2023,EU_COV_PENSN,,,,,,,Elorrio,Porcentaje,Elorrio,27.8
2022,EU_COV_PENSN,,,,,,,Elorrio,Porcentaje,Elorrio,27.3
2022,EU_COV_PENSN,,,,,,,Elvillar/Bilar,Porcentaje,Elvillar/Bilar,35.6
2023,EU_COV_PENSN,,,,,,,Elvillar/Bilar,Porcentaje,Elvillar/Bilar,37.9
2022,EU_COV_PENSN,,,,,,,Erandio,Porcentaje,Erandio,24.4
2023,EU_COV_PENSN,,,,,,,Erandio,Porcentaje,Erandio,24.6
2022,EU_COV_PENSN,,,,,,,Ereño,Porcentaje,Ereño,29.5
2023,EU_COV_PENSN,,,,,,,Ereño,Porcentaje,Ereño,29.6
2023,EU_COV_PENSN,,,,,,,Ermua,Porcentaje,Ermua,29.1
2022,EU_COV_PENSN,,,,,,,Ermua,Porcentaje,Ermua,28.6
2022,EU_COV_PENSN,,,,,,,Errenteria,Porcentaje,Errenteria,27.1
2023,EU_COV_PENSN,,,,,,,Errenteria,Porcentaje,Errenteria,26.8
2023,EU_COV_PENSN,,,,,,,Errezil,Porcentaje,Errezil,26.1
2022,EU_COV_PENSN,,,,,,,Errezil,Porcentaje,Errezil,27.6
2023,EU_COV_PENSN,,,,,,,Erriberagoitia/Ribera Alta,Porcentaje,Erriberagoitia/Ribera Alta,18.6
2022,EU_COV_PENSN,,,,,,,Erriberagoitia/Ribera Alta,Porcentaje,Erriberagoitia/Ribera Alta,17.7
2022,EU_COV_PENSN,,,,,,,Errigoiti,Porcentaje,Errigoiti,26.5
2023,EU_COV_PENSN,,,,,,,Errigoiti,Porcentaje,Errigoiti,25.8
2023,EU_COV_PENSN,,,,,,,Eskoriatza,Porcentaje,Eskoriatza,26.8
2022,EU_COV_PENSN,,,,,,,Eskoriatza,Porcentaje,Eskoriatza,26.8
2023,EU_COV_PENSN,,,,,,,Etxebarri,Porcentaje,Etxebarri,16.7
2022,EU_COV_PENSN,,,,,,,Etxebarri,Porcentaje,Etxebarri,16.6
2023,EU_COV_PENSN,,,,,,,Etxebarria,Porcentaje,Etxebarria,39.4
2022,EU_COV_PENSN,,,,,,,Etxebarria,Porcentaje,Etxebarria,39.2
2022,EU_COV_PENSN,,,,,,,Ezkio-Itsaso,Porcentaje,Ezkio-Itsaso,26.2
2023,EU_COV_PENSN,,,,,,,Ezkio-Itsaso,Porcentaje,Ezkio-Itsaso,26.5
2023,EU_COV_PENSN,,,,,,,Forua,Porcentaje,Forua,28.5
2022,EU_COV_PENSN,,,,,,,Forua,Porcentaje,Forua,29.0
2022,EU_COV_PENSN,,,,,,,Fruiz,Porcentaje,Fruiz,21.7
2023,EU_COV_PENSN,,,,,,,Fruiz,Porcentaje,Fruiz,21.2
2022,EU_COV_PENSN,,,,,,,Gabiria,Porcentaje,Gabiria,24.4
2023,EU_COV_PENSN,,,,,,,Gabiria,Porcentaje,Gabiria,25.1
2022,EU_COV_PENSN,,,,,,,Gaintza,Porcentaje,Gaintza,16.3
2023,EU_COV_PENSN,,,,,,,Gaintza,Porcentaje,Gaintza,18.4
2023,EU_COV_PENSN,,,,,,,Galdakao,Porcentaje,Galdakao,26.1
2022,EU_COV_PENSN,,,,,,,Galdakao,Porcentaje,Galdakao,25.7
2022,EU_COV_PENSN,,,,,,,Galdames,Porcentaje,Galdames,25.1
2023,EU_COV_PENSN,,,,,,,Galdames,Porcentaje,Galdames,25.2
2023,EU_COV_PENSN,,,,,,,Gamiz-Fika,Porcentaje,Gamiz-Fika,26.6
2022,EU_COV_PENSN,,,,,,,Gamiz-Fika,Porcentaje,Gamiz-Fika,25.3
2022,EU_COV_PENSN,,,,,,,Garai,Porcentaje,Garai,16.7
2023,EU_COV_PENSN,,,,,,,Garai,Porcentaje,Garai,18.0
2022,EU_COV_PENSN,,,,,,,Gatika,Porcentaje,Gatika,24.0
2023,EU_COV_PENSN,,,,,,,Gatika,Porcentaje,Gatika,24.6
2022,EU_COV_PENSN,,,,,,,Gautegiz Arteaga,Porcentaje,Gautegiz Arteaga,23.0
2023,EU_COV_PENSN,,,,,,,Gautegiz Arteaga,Porcentaje,Gautegiz Arteaga,23.0
2023,EU_COV_PENSN,,,,,,,Gaztelu,Porcentaje,Gaztelu,14.2
2022,EU_COV_PENSN,,,,,,,Gaztelu,Porcentaje,Gaztelu,14.4
2023,EU_COV_PENSN,,,,,,,Gernika-Lumo,Porcentaje,Gernika-Lumo,26.6
2022,EU_COV_PENSN,,,,,,,Gernika-Lumo,Porcentaje,Gernika-Lumo,26.8
2023,EU_COV_PENSN,,,,,,,Getaria,Porcentaje,Getaria,24.1
2022,EU_COV_PENSN,,,,,,,Getaria,Porcentaje,Getaria,23.9
2022,EU_COV_PENSN,,,,,,,Getxo,Porcentaje,Getxo,26.3
